STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:055881,NEDERLAND 5 NNW CO US,20000101 00:00,999.99,], 
COOP:055881,NEDERLAND 5 NNW CO US,20000101 01:00,0.0,g, 
COOP:055881,NEDERLAND 5 NNW CO US,20000102 20:00,0.0, ,q
COOP:055881,NEDERLAND 5 NNW CO US,20000103 01:00,0.0, ,q
COOP:055881,NEDERLAND 5 NNW CO US,20000103 05:00,0.0, ,q
COOP:055881,NEDERLAND 5 NNW CO US,20000104 08:00,0.0, ,q
COOP:055881,NEDERLAND 5 NNW CO US,20000104 19:00,0.0, ,q
COOP:055881,NEDERLAND 5 NNW CO US,20000107 01:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000107 19:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000108 04:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000108 12:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000109 17:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000110 22:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000111 05:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000112 01:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000112 04:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000112 07:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000116 18:00,999.99,{, 
COOP:055881,NEDERLAND 5 NNW CO US,20000131 11:00,999.99,}, 
COOP:055881,NEDERLAND 5 NNW CO US,20000131 12:00,999.99,[, 
COOP:055881,NEDERLAND 5 NNW CO US,20000201 00:00,999.99,], 
COOP:055881,NEDERLAND 5 NNW CO US,20000201 01:00,0.0,g, 
COOP:055881,NEDERLAND 5 NNW CO US,20000210 12:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000210 20:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000211 06:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000211 10:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000211 12:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000212 18:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000213 04:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000213 15:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000214 08:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000214 15:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000215 03:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000215 04:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000215 05:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000215 17:00,0.3, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000229 09:00,999.99,{, 
COOP:055881,NEDERLAND 5 NNW CO US,20000229 12:00,999.99,}, 
COOP:055881,NEDERLAND 5 NNW CO US,20000229 13:00,999.99,[, 
COOP:055881,NEDERLAND 5 NNW CO US,20000301 00:00,999.99,], 
COOP:055881,NEDERLAND 5 NNW CO US,20000301 01:00,0.0,g, 
COOP:055881,NEDERLAND 5 NNW CO US,20000302 11:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000306 12:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000308 11:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000312 01:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000312 09:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 09:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 10:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 11:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 12:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 13:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 14:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 15:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 16:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 17:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 18:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 20:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000315 22:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000320 07:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000320 12:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000320 20:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000321 02:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000323 11:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000328 22:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000330 14:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000330 17:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000330 19:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000330 20:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000330 21:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000331 01:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000331 04:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000331 07:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000331 11:00,0.1, , 
COOP:055881,NEDERLAND 5 NNW CO US,20000331 13:00,0.1, , 
